remittance,remittants,
renascence,renascents,
repeal,repeel,
reseat,receipt,
resinate,resonate,
resistance,resistants,
retard,retarred,
road,rode,rowed,
rondeau,rondo,
rosary,rosery,
sac,sack,sacque,
saccharin,saccharine,
sachet,sashay,
sacks,sacs,sax,
sail,sale,
sailer,sailor,
sails,sales,
salver,salvor,
sandhi,sandy,
sain,sane,seine,
saner,seiner,
sank,cinque,
sari,sorry,
sault,sou,sue,
saver,savor,
savior,saviour,
say,se,
scalar,scaler,
sea,c,cee,see,
seal,ceil,seel,
sealing,ceiling,
seam,seem,
seamed,seemed,
seaman,seamen,semen,
seams,seems,
sear,cere,seer,sere,
seas,c's,cees,sees,seize,
seas,sees,seize,
seat,cete,
senate,sennet,sennit,
seraph,serif,
shake,sheik(h),
shea,she,
shear,sheer,
shears,sheers,
shivaree,shivery,
sibilance,sibilants,
skald,scold,
slay,sleigh,
slayed,sleighed,
slaying,sleighing,
sleave,sleeve,
soak,soke,
soar,sore,
soared,sword,
spade,spayed,
spae,spay,
spear,speer,
squaller,squalor,
stade,staid,stayed,
staff,staph,
stair,stare,
stake,steak,
stakes,steaks,
stanch,staunch,
starlet,starlit,
stater,stator,
statice,status,
stationary,stationery,
steal,steel,stele,
stealing,steeling,
steals,steels,steles,
straight,strait,
straighten,straiten,
summary,summery,
sundae,Sunday,
swat,swot,
swayed,suede,
tach,tack,
tacked,tact,
tacks,tax,
tael,tail,tale,
tahr,tar,
tailer,tailor,
tails,tales,
tambour,timbre,
taper,tapir,
tare,tear,
tartar,tarter,
taught,taut,
taupe,tope,
tea,t,tee,ti,
teal,teil,
team,teem,
teamed,teemed,
teaming,teeming,
teams,teems,
tear,tier,
teas,tease,tees,tis,
teat,teet,
ternary,turnery,
titan,tighten,
toad,toed,towed,
toady,tody,
tora,torah,
tracked,tract,
trade,trayed,
traitoress,traitorous,
tray,trey,
trays,treys,
turban,turbine,
unreal,unreel,
vail,vale,veil,
vain,vane,vein,
valance,valence,
variance,variants,
vial,vile,viol,
wack(s),wax,whack(s),
wade,weighed,
wail,wale,whale,
wailer,waler,whaler,
wain,wane,
waist,waste,
waisted,wasted,
waists,wastes,
wait,weight,
waited,weighted,
waiting,weighting,
waits,weights,
waive,wave,
waived,waved,
waiver,waver,
waives,waves,
waiving,waving,
war,wore,
ward,warred,
ware,wear,weir,where,
wares,wears,where's,
warn,worn,
warrantee,warrranty,
wart,wort,
watt,what,
wax,whacks,
way,weigh,whey,
ways,weighs,
weak,week,
weakly,weekly,
weal,wheal,we'll,wheel,
weald,wheeled,wield,
wean,ween,
weaner,weiner,
weather,wether,whether,
weave,we've,
whoa,ho,hoe,
whoa,woe,
wreak,reek,
wreaking,reeking,
wreaks,reeks,
yack,yak,
y'all,yawl,
Abel,able,
absence,absents,
abstinence,abstinents,
b,be,bee,
baa,bah,
Baal,bail,bale,
babble,babel,
bach,batch,
bached,batched,
baching,batching,
bad,bade,
baht,bot,
bailed,baled,
bailee,bailey,bailie,
bailer,bailor,baler,
bair,bare,bear,
bait,bate,
baited,bated,
baiting,bating,
baize,bays,beys,
bald,balled,bawled,
ball,bawl,
balm,bomb,
baloney,bologna,
ban,bann,
band,banned,
bar,barre,
bard,barred,
bare,bear,
barer,bearer,
baring,bearing,
bark,barque,
baron,barren,
basal,basil,
base,bass,
based,baste,
bases,basses,
basest,bassist,
bask,basque,
bat,batt,
baud,bawd,
bay,bey,
bazaar,bizarre,
beach,beech,
bean,been,
beat,beet,
beau,bow,
beaut,butte,
been,bin,bine,
beer,bier,
bees,bise,
beetle,betel,
bel,bell,belle,
belligerence,belligerents,
berg,burg,
berries,buries,
berry,bury,
berth,birth,
better,bettor,
bi,buy,by,bye,
bight,bite,byte,
billed,build,
bird,burd,burred,
birr,bur,burr,
bit,bitt,
blair,blare,
blend,blende,
blew,blue,
bloc,block,
boar,boer,bore,
board,bored,
boarder,border,
bocks,box,
bode,bowed,
bodies,body's,
bogey,bogie,bogy,
bold,bowled,
bolder,boulder,
bole,boll,bowl,
bonds,bonze,
boos,booze,
bootee,booty,
born,bourn,bourne,
borough,burro,burrow,
bough,bow,
boullion,bullion,
boy,buoy,
brae,bray,
braes,braise,brays,braze,
braid,brayed,
brake,break,
braking,breaking,
brassie,brassy,
breach,breech,
bread,bred,
bree,brie,
brewed,brood,
brews,bruise,
bridal,bridle,
broom,brume,
brows,browse,
bruit,brut,brute,
brunet,brunette,
buccal,buckle,
bundt,bunt,
burley,burly,
bus,buss,
bused,bussed,bust,
but,butt,
buyer,byre,
citable,sightable,sitable,
clabbered,clapboard,
clamber,clammer,clamor,
climb,clime,
combing,coaming,
crumby,crummie,crummy,
cubit,qubit,
cymbal,symbol,
forbear,forebear,
gamble,gambol,
gibe,jibe,
impassable,impassible,
jab,jabb,
jamb,jam,
knob,nob,
knobs,nobs,
lamb,lam,
limb,limn,
limbs,limns,
may be,maybe (2 words/1 word),
miscible,missable,
obedience,obedients,
overbilled,overbuild,
passable,passible,
plumb,plum,
plumbs,plums,
pubescence,pubescents,
rabbet,rabbit,
rebilled,rebuild,
rhumb,rum,
sibilance,sibilants,
subtler,sutler,
tambour,timbre,
timber,timbre,
turban,turbine,
absence,absents,
abstinence,abstinents,
accede,axseed,
accepter,acceptor,
accidence,accidents,
acclamation,acclimation,
adherence,adherents,
adolescence,adolescents,
aitch,h,
arc,ark,
ascent,assent,
assistance,assistants,
attendance,attendants,
auricle,oracle,
autarchy,autarky,
bach,batch,
bached,batched,
baching,batching,
beach,beech,
belligerence,belligerents,
bloc,block,
bocks,box,
breach,breech,
buccal,buckle,
c,cee,sea,see,
cache,cash,
cached,cashed,
caches,cashes,
caching,cashing,
cachou,cashew,
caddie,caddy,cadi,
caird,cared,
calculous,calculus,
calendar,calender,
calix,calyx,
calk,caulk,
call,caul,col,
callous,callus,
camara,camera,
came,kame,
canape,canopy,
canine,K9,
cannon,canon,
can't,cant,
canter,cantor,
canvas,canvass,
canvases,canvasses,
capital,capitol,
carat,caret,carrot,karat,
caries,carries,
carol,carrel,
carpal,carpel,
cask,casque,
cast,caste,
caster,castor,
caudal,caudle,
cause,caws,
cay,key,quay,
cays,keys,quays,
cedar,ceder,seeder,
cede,seed,
ceding,seeding,
c's,cees,seas,sees,seize,
ceil,seal,seel,
ceiling,sealing,
cel,cell,sell,
cellar,seller,
cense,cents,scents,sense,
censer,censor,senser,sensor,
censing,sensing,
cent,scent,sent,
center,scenter,
cerate,serrate,
cere,sear,seer,sere,
cereal,serial,
cession,session,
cete,seat,
chair,chare,
chaise,shays,
champagne,champaign,
chance,chants,
chantey,chanty,shanty,
chard,charred,
chary,cherry,
chased,chaste,
cheap,cheep,
check,cheque,
chews,choose,
chic,sheik,
chili,chilly,
chin,chine,
chiton, kitten,
choc,chock,
choir,quire,
choler,collar,
choral,coral,
chorale,corral,
chord,cord,cored,
chordate,cordate,
chough,chuff,
chrism,chrisom,
chucker,chukker,
chute,shoot,
cinque,sync,sink,
cinque,sank,
cirrous,cirrus,serous,
cist,kissed,
cist,cyst,
citable,sightable,sitable,
cite,sight,site,
cited,sighted,sited,
cites,sights,sites,
citing,sighting,siting,
clabbered,clapboard,
clack,clacque,
clairvoyance,clairvoyants,
clamber,clammer,clamor,
clause,claws,
clew,clue,
click,clique,
climb,clime,
close,clothes,
coal,cole,kohl,
coaming,combing,
coarse,corse,course,
coarser,courser,
coat,cote,
coax,cokes,
cocks,cox,
coco,cocoa,
coddling,codling,
coffer,cougher,
coif,quaff,
coin,quoin,
collard,collared,
colonel,kernel,
color,culler,
come,cum,
competence,competents,
complacent,complaisant,
compleat,complete,
complement,compliment,
complemented,complimented,
complementing,complimenting,
con,conn,khan,
concent,consent,
concenter,consenter,
conch,conk,
condescendence,condescendents,
confectionary,confectionery,
conker,conquer,
consulter,consultor,
continence,continents,
coo,coup,
coolie,coolly,coulee,
cop,kop,
copped,copt,
cops,copse,
coquet,coquette,
core,corps,kor,
correspondence,correspondents,
cosey,cosy,cozy,
cosign,cosine,
cot,khat,
council,counsel,
councillor,councilor,counsellor,counselor,
courtesy,curtesy,
cousin,cozen,
coward,cowered,
coy,koi,
craft,kraft,
crape,crepe,
crappie,crappy,
crater,krater,
creak,creek,
crew,krewe,
crewed,crude,
crewel,cruel,
crews,cruise,
croc,crock,
cross,crosse,
crumby,crummie,crummy,
cubit,qubit,
cue,q,queue,
cued,queued,
cueing,queueing,
cuer,queuer,
cues,queues,
curd,kurd,
currant,current,
curser,cursor,
cygnet,signet,
cymbal,symbol,
dependence,dependents,
descendant,descendent,
descendence,descendents,
despondence,despondents,
deuce,douce,
disc,disk,
discreet,discrete,
doc,dock,
